Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,20000000,1,0,0.0862330634,4.36751,0.0862330634,4.36751,87350200,0.0197442327,0.0064836810,3.0452526599,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,20000000,1,0,0.1067444439,5.38764,0.1067444439,5.38764,107752800,0.0198128392,0.0065109427,3.0430328413,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,20000000,1,0,0.0005011760,0.02595,0.0005011760,0.02595,519000,0.0193131355,0.0063535902,3.0442792783,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,20000000,1,0,0.4132014980,20.05014,0.4132014980,20.05014,401002800,0.0206084136,0.0067733410,3.0425855337,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,20000000,1,0,0.0473889653,2.42689,0.0473889653,2.42689,4.85378e+07,0.0195265959,0.0064146864,3.0440884696,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,20000000,1,0,0.0301825769,1.53490,0.0301825769,1.53490,30698000,0.0196641554,0.0064589278,3.0445603515,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,20000000,1,0,0.0191696830,0.98276,0.0191696830,0.98276,19655200,0.0195060319,0.0064065648,3.0447962238,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,20000000,1,0,0.0109562367,0.55417,0.0109562367,0.55417,1.10834e+07,0.0197705339,0.0064951194,3.0441501821,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,20000000,1,0,0.4740127715,23.66150,0.4740127715,23.66150,473230000,0.0200330820,0.0065818786,3.0436802739,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,20000000,1,0,0.1050829052,5.53978,0.1050829052,5.53978,110795600,0.0189687982,0.0062307055,3.0444290674,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,20000000,1,0,0.1214977641,6.30428,0.1214977641,6.30428,126085600,0.0192722573,0.0063302341,3.0445036183,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,20000000,1,0,0.0941613077,4.93087,0.0941613077,4.93087,98617400,0.0190962871,0.0062731916,3.0441299262,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,20000000,1,0,4.3634411748,218.12771,4.3634411748,218.12771,4362554200,0.0200040653,0.0065728644,3.0434389132,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,20000000,1,0,6.5803893430,343.27816,6.5803893430,343.27816,6865563200,0.0191690177,0.0062853128,3.0498152632,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
dtoa,0,20000000,1,0,0.0800809492,3.92860,0.0800809492,3.92860,78572000,0.0203840767,0.0066816663,3.0507939110,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29827448,0,675849,262147,479240
duff,0,20000000,1,0,0.0046154073,0.23989,0.0046154073,0.23989,4797800,0.0192394151,0.0063060369,3.0516155519,duff,3006473,0,471041,200704,0,614400,20481,520196,0,16385,8192,8192
edn,0,20000000,1,0,0.3068082538,15.04488,0.3068082538,15.04488,300897600,0.0203928736,0.0066844721,3.0507956752,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109805572,0,49153,20480,40960
expint,0,20000000,1,0,0.0492366787,2.44426,0.0492366787,2.44426,48885200,0.0201437716,0.0066016757,3.0513558905,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,20000000,1,0,0.0031324890,0.15263,0.0031324890,0.15263,3.0526e+06,0.0205234070,0.0067286709,3.0507732669,fac,1646601,225280,471041,114688,0,73728,1,540676,0,53249,45056,4096
fasta,0,20000000,1,0,22.6604314262,1165.78255,22.6604314262,1165.78255,2.33157e+10,0.0194379574,0.0063857607,3.0439553498,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9562379869,0,163946263,98307862,98402304
fdct,0,20000000,1,0,0.0127262388,0.60669,0.0127262388,0.60669,1.21338e+07,0.0209765135,0.0068888028,3.0451975250,fdct,7254025,802816,90113,1961984,0,1216512,724993,4083716,0,12289,0,8192
fibcall,0,20000000,1,0,0.0016599468,0.08583,0.0016599468,0.08583,1716600,0.0193391593,0.0063524021,3.0457729001,fibcall,1130505,0,266241,16384,0,20480,1,647172,0,12289,0,8192
fir,0,20000000,1,0,2.0981803160,102.20885,2.0981803160,102.20885,2044177000,0.0205283616,0.0067419512,3.0448723401,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,800997380,0,2879489,2867200,8192
frac,0,20000000,1,0,1.2169815802,62.70550,1.2169815802,62.70550,1254110000,0.0194078914,0.0063742599,3.0447349848,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516075524,0,9691137,4030464,5738496
insertsort,0,20000000,1,0,0.0033392904,0.17347,0.0033392904,0.17347,3.4694e+06,0.0192503274,0.0063232771,3.0448230384,insertsort,2023433,0,274433,454656,0,430080,8193,1265668,0,8193,0,4096
janne_complex,0,20000000,1,0,0.0016401777,0.08131,0.0016401777,0.08131,1.6262e+06,0.0201727557,0.0066286346,3.0446972510,janne_complex,913417,16384,315393,16384,0,20480,16385,634884,0,12289,0,4096
jfdctint,0,20000000,1,0,0.0340517491,1.64448,0.0340517491,1.64448,32889600,0.0207067395,0.0068032805,3.0437196706,jfdctint,23126025,1048576,2387969,1298432,0,1400832,1032193,14008324,0,274433,0,12288
lcdnum,0,20000000,1,0,0.0009276593,0.04801,0.0009276593,0.04801,960200,0.0193221873,0.0063503843,3.0447639956,lcdnum,528393,0,139265,65536,0,49152,8193,348164,0,28673,20480,4096
levenshtein,0,20000000,1,0,0.4363717374,22.58865,0.4363717374,22.58865,451773000,0.0193181837,0.0063455812,3.0443627511,levenshtein,252755977,10473472,42688513,65564672,0,18358272,11276289,164446212,0,8753153,307200,311296
ludcmp,0,20000000,1,0,0.1854634998,9.57928,0.1854634998,9.57928,191585600,0.0193609021,0.0063588672,3.0447282598,ludcmp,134098953,1810432,14602241,12636160,0,10211328,1400833,75030532,0,1441793,978944,1220608
matmult-float,0,20000000,1,0,1.6080156788,84.15466,1.6080156788,84.15466,1.68309e+09,0.0191078643,0.0062760964,3.0445506903,matmult-float,1187909641,15319040,126152705,105320448,0,90230784,12967937,657473540,0,12259329,10608640,10665984
matmult-int,0,20000000,1,0,0.9049088342,45.56296,0.9049088342,45.56296,9.11259e+08,0.0198606257,0.0065231794,3.0446291694,matmult-int,532971529,36044800,68788225,142606336,0,47673344,6586369,311296004,0,6574081,1642496,3293184
mergesort,0,20000000,1,0,4.7742803331,244.08304,4.7742803331,244.08304,4881660800,0.0195600662,0.0064247418,3.0445046845,mergesort,3368980627,51609600,382791703,379736086,0,208285718,66043913,1863770195,0,36052997,23797764,16490498
minver,0,20000000,1,0,0.0913409497,4.69312,0.0913409497,4.69312,9.38624e+07,0.0194627474,0.0063956194,3.0431754803,minver,63896409,434159,8003052,6463580,0,5292074,669700,35850203,0,669694,225270,655350
nbody,0,20000000,1,0,27.3076449857,1368.01989,27.3076449857,1368.01989,27360397800,0.0199614387,0.0065551967,3.0451348043,nbody,20852818620,476856236,1672875718,1104797638,0,1014243288,427855849,11588974760,0,119066601,69722097,82522112
ndes,0,20000000,1,0,0.3178109971,16.06164,0.3178109971,16.06164,321232800,0.0197869586,0.0064984830,3.0448733860,ndes,212787402,1179648,17350689,29978624,0,17199137,22016002,117424140,0,4042753,135168,139264
nettle-arcfour,0,20000000,1,0,0.1177407594,6.05452,0.1177407594,6.05452,121090400,0.0194467405,0.0063873781,3.0445806999,nettle-arcfour,74723337,0,13012993,9281536,0,7032832,2179073,41656324,0,2121729,12288,20480
nettle-cast128,0,20000000,1,0,0.0257291694,1.21927,0.0257291694,1.21927,24385400,0.0211020523,0.0069319394,3.0443019497,nettle-cast128,16830473,0,135169,2371584,0,1114112,3817473,8482820,0,20481,4096,20480
nettle-des,0,20000000,1,0,0.0241231275,1.17499,0.0241231275,1.17499,23499800,0.0205304991,0.0067430755,3.0447944668,nettle-des,19431433,0,118785,1122304,0,380928,2322433,9773060,0,32769,16384,28672
nettle-md5,0,20000000,1,0,0.0060432127,0.29318,0.0060432127,0.29318,5863600,0.0206124190,0.0067709569,3.0445761624,nettle-md5,4575241,0,94209,634880,0,188416,270337,2310148,0,12289,0,8192
nettle-sha256,0,20000000,1,0,0.0575783080,2.76998,0.0575783080,2.76998,55399600,0.0207865188,0.0068268368,3.0448771429,nettle-sha256,41385993,0,499713,10117120,0,2260992,618497,21057540,0,81921,28672,65536
newlib-exp,0,20000000,1,0,0.0767595088,3.83553,0.0767595088,3.83553,76710600,0.0200127679,0.0065737261,3.0444046975,newlib-exp,54738953,770048,5505025,4247552,0,4251648,802817,30392324,0,573441,339968,495616
newlib-log,0,20000000,1,0,0.0572969363,2.88276,0.0572969363,2.88276,5.76552e+07,0.0198756977,0.0065259079,3.0457165796,newlib-log,40787977,655360,4169729,3264512,0,3219456,667649,22614020,0,458753,237568,401408
newlib-mod,0,20000000,1,0,0.0011139933,0.05823,0.0011139933,0.05823,1164600,0.0191319830,0.0062856667,3.0461398994,newlib-mod,454665,0,102401,172032,0,217088,65537,286724,0,28673,8192,24576
newlib-sqrt,0,20000000,1,0,0.0113658443,0.57392,0.0113658443,0.57392,11478400,0.0198039961,0.0065037863,3.0452352177,newlib-sqrt,8314889,0,1220609,229376,0,258048,126977,4784132,0,81921,40960,53248
nsichneu,0,20000000,1,0,0.0319523373,1.65892,0.0319523373,1.65892,33178400,0.0192608884,0.0063240105,3.0457254789,nsichneu,20639753,0,1126401,8200192,0,45056,2105345,10883076,0,12289,0,4096
picojpeg,0,20000000,1,0,5.2340180076,272.60969,5.2340180076,272.60969,5452193800,0.0191996773,0.0063048053,3.0452514922,picojpeg,3227541513,72040448,447496193,505757696,0,438185984,186368001,1892966404,0,115163137,70889472,24612864
prime,0,20000000,1,0,0.2276854836,11.67847,0.2276854836,11.67847,2.33569e+08,0.0194961796,0.0064036773,3.0445420521,prime,171671561,1769472,24014849,3620864,0,3629056,28673,98639876,0,3567617,1785856,1789952
qrduino,0,20000000,1,0,4.7663112097,249.29492,4.7663112097,249.29492,4985898400,0.0191191676,0.0062810853,3.0439311092,qrduino,3219926961,67354624,355033075,635973639,0,133865491,210268169,1901739988,0,18001925,4894724,1929218
qsort,0,20000000,1,0,0.0221736442,1.20661,0.0221736442,1.20661,24132200,0.0183768114,0.0060330891,3.0461224265,qsort,12986218,0,2421090,2814369,0,2277722,299037,8012952,0,487501,28676,483404
qurt,0,20000000,1,0,0.1510708798,7.69026,0.1510708798,7.69026,153805200,0.0196444433,0.0064503703,3.0455010782,qurt,110510089,1130496,12644353,6762496,0,6656000,1376257,62070788,0,1478657,561152,991232
recursion,0,20000000,1,0,0.0110175901,0.58882,0.0110175901,0.58882,11776400,0.0187113032,0.0061431336,3.0461289633,recursion,5148681,0,1474561,1474560,0,1478656,12289,3096580,0,372737,360448,368640
rijndael,0,20000000,1,0,7.5172298875,374.29063,7.5172298875,374.29063,7485812600,0.0200839384,0.0065979288,3.0439905879,rijndael,4737201167,201787392,249218048,933453824,0,551467011,442913795,2586172423,0,69386241,34754560,69382144
select,0,20000000,1,0,0.0076275504,0.41758,0.0076275504,0.41758,8351600,0.0182660816,0.0060001394,3.0446690177,select,4382259,0,898352,870354,0,865709,73884,2695622,0,192767,45106,188670
sglib-arraybinsearch,0,20000000,1,0,0.0810081662,4.29879,0.0810081662,4.29879,85975800,0.0188443963,0.0061906140,3.0440564115,sglib-arraybinsearch,55005193,0,10010625,5185536,0,3362816,2584577,33181700,0,8193,0,4096
sglib-arrayheapsort,0,20000000,1,0,0.0894054601,4.79775,0.0894054601,4.79775,95955000,0.0186348596,0.0061213534,3.0442610398,sglib-arrayheapsort,68227081,0,5492737,11694080,0,5251072,8193,35635204,0,8193,0,4096
sglib-arrayquicksort,0,20000000,1,0,0.0716124002,3.65042,0.0716124002,3.65042,73008400,0.0196175966,0.0064437184,3.0444792818,sglib-arrayquicksort,48320521,0,6635521,6144000,0,5320704,110593,27193348,0,8193,0,4096
sglib-dllist,0,20000000,1,0,0.2993009710,15.74492,0.2993009710,15.74492,314898400,0.0190093669,0.0062435405,3.0446585691,sglib-dllist,174730376,0,34684804,37396453,0,25288724,2662414,99606030,0,4128775,2875398,2068483
sglib-hashtable,0,20000000,1,0,0.2723890968,14.57124,0.2723890968,14.57124,291424800,0.0186936157,0.0061393225,3.0449154256,sglib-hashtable,147143984,0,31141788,36007919,0,31014934,2658318,90488428,0,8564743,4435974,4460547
sglib-listinsertsort,0,20000000,1,0,0.3282501984,16.99477,0.3282501984,16.99477,339895400,0.0193147811,0.0063440307,3.0445708756,sglib-listinsertsort,182684730,0,35475321,53907424,0,23179283,2637838,114871779,0,4493319,2453510,2867203
