Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,24000000,0,0,0.0830134365,3.63894,0.0830134365,3.63894,87334560,0.0228125518,0.0074956637,3.0434778057,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36372484,0,303105,147456,299008
aha-mont64,0,24000000,0,0,0.1042865547,4.48985,0.1042865547,4.48985,1.07756e+08,0.0232271623,0.0076370399,3.0414069927,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,24000000,0,0,0.0004759483,0.02162,0.0004759483,0.02162,518880,0.0220109607,0.0072498240,3.0426256696,bs,274441,0,69633,49152,0,32768,4097,188420,0,12289,4096,8192
bubblesort,0,24000000,0,0,0.3930278957,16.70807,0.3930278957,16.70807,400993680,0.0235232437,0.0077354774,3.0409637184,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148529156,0,12289,4096,8192
cnt,0,24000000,0,0,0.0454368780,2.02233,0.0454368780,2.02233,4.85359e+07,0.0224675883,0.0073828152,3.0433048887,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19755012,0,843777,8192,430080
compress,0,24000000,0,0,0.0293770024,1.27904,0.0293770024,1.27904,30696960,0.0229679483,0.0075472621,3.0432945535,compress,17022985,0,1925121,2707456,0,3993600,2740225,9568260,0,221185,8192,217088
cover,0,24000000,0,0,0.0183100943,0.81896,0.0183100943,0.81896,19655040,0.0223578334,0.0073469378,3.0433179714,cover,12587017,0,2117633,729088,0,733184,688129,7708676,0,708609,499712,12288
crc,0,24000000,0,0,0.0102221691,0.46179,0.0102221691,0.46179,11082960,0.0221358134,0.0072753711,3.0428113097,crc,6705164,0,1400322,1105920,0,94721,370177,4568583,0,16641,4352,12288
crc32,0,24000000,0,0,0.4497626642,19.71723,0.4497626642,19.71723,473213520,0.0228106376,0.0074984270,3.0420671012,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151056388,0,8400897,8392704,8396800
ctl-stack,0,24000000,0,0,0.1003085740,4.61628,0.1003085740,4.61628,110790720,0.0217293083,0.0071398470,3.0434255119,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35246161,0,1802245,499716,913410
ctl-string,0,24000000,0,0,0.1183407567,5.25343,0.1183407567,5.25343,126082320,0.0225263933,0.0074024592,3.0431165426,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,42029041,0,2818053,1425412,385026
ctl-vector,0,24000000,0,0,0.0898797138,4.10929,0.0898797138,4.10929,9.8623e+07,0.0218723051,0.0071883356,3.0427892225,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29917267,0,1613829,503812,929794
cubic,0,24000000,0,0,4.1275223360,181.75956,4.1275223360,181.75956,4362229440,0.0227086945,0.0074572626,3.0451869097,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831186436,0,23031809,12754944,13832192
dijkstra,0,24000000,0,0,6.4089676175,294.40759,6.4089676175,294.40759,7.06578e+09,0.0217690295,0.0071399843,3.0488939546,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2315775991,0,77832197,41660420,42438658
dtoa,0,24000000,0,0,0.0754728285,3.27380,0.0754728285,3.27380,78571200,0.0230536093,0.0075595106,3.0496590078,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29913464,0,675849,262147,479240
duff,0,24000000,0,0,0.0045568554,0.19988,0.0045568554,0.19988,4797120,0.0227979700,0.0074750737,3.0503298065,duff,3006473,0,471041,200704,0,614400,20481,1736708,0,16385,8192,8192
edn,0,24000000,0,0,0.2910430749,12.53827,0.2910430749,12.53827,300918480,0.0232123792,0.0076124415,3.0492789314,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109809668,0,49153,20480,40960
expint,0,24000000,0,0,0.0471726459,2.03688,0.0471726459,2.03688,48885120,0.0231593076,0.0075935652,3.0498994424,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,24000000,0,0,0.0029040118,0.12719,0.0029040118,0.12719,3052560,0.0228326889,0.0074889698,3.0496891253,fac,1646601,225280,471041,114688,0,73728,1,1183748,0,53249,45056,4096
fasta,0,24000000,0,0,20.9708224348,971.45608,20.9708224348,971.45608,23314945920,0.0215870000,0.0070964330,3.0419528984,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9595008605,0,163946263,98307862,98402304
fdct,0,24000000,0,0,0.0121926944,0.50556,0.0121926944,0.50556,12133440,0.0241173649,0.0079251209,3.0433891673,fdct,7254025,802816,90113,1961984,0,1216512,724993,4087812,0,12289,0,8192
fibcall,0,24000000,0,0,0.0015561971,0.07152,0.0015561971,0.07152,1716480,0.0217579222,0.0071497470,3.0447232575,fibcall,1130505,0,266241,16384,0,20480,1,655364,0,12289,0,8192
fir,0,24000000,0,0,1.9592025035,85.18312,1.9592025035,85.18312,2044394880,0.0229998898,0.0075563291,3.0437946775,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,801001476,0,2879489,2867200,8192
frac,0,24000000,0,0,1.1424825884,52.25181,1.1424825884,52.25181,1254043440,0.0218649379,0.0071850264,3.0431322506,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516280324,0,9691137,4030464,5738496
