Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,20000000,1,1,0.0865036453,4.88266,0.0865036453,4.88266,9.76532e+07,0.0177164886,0.0058154629,3.0464687768,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,20000000,1,1,0.1070426345,5.72684,0.1070426345,5.72684,114536800,0.0186914070,0.0061409996,3.0437343519,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,20000000,1,1,0.0005427238,0.03147,0.0005427238,0.03147,629400,0.0172457414,0.0056706606,3.0452597522,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,20000000,1,1,0.4129858841,21.18549,0.4129858841,21.18549,423709800,0.0194938075,0.0064062553,3.0429367806,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,20000000,1,1,0.0483443412,2.75721,0.0483443412,2.75721,55144200,0.0175337696,0.0057576363,3.0453698476,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,20000000,1,1,0.0334398169,1.81478,0.0334398169,1.81478,36295600,0.0184263751,0.0060514879,3.0450257992,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,20000000,1,1,0.0202698258,1.14812,0.0202698258,1.14812,22962400,0.0176547972,0.0057970211,3.0456052412,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,20000000,1,1,0.0119091071,0.67823,0.0119091071,0.67823,13564600,0.0175590983,0.0057665335,3.0451860424,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,20000000,1,1,0.4827856970,25.96663,0.4827856970,25.96663,519332600,0.0185925410,0.0061079003,3.0440251318,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,20000000,1,1,0.1121134756,6.31010,0.1121134756,6.31010,126202000,0.0177672967,0.0058338655,3.0455669711,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,20000000,1,1,0.1326737750,7.48022,0.1326737750,7.48022,149604400,0.0177366061,0.0058244649,3.0452062056,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,20000000,1,1,0.1015854700,5.64024,0.1015854700,5.64024,112804800,0.0180108309,0.0059155315,3.0446938891,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,20000000,1,1,4.2496306106,235.42710,4.2496306106,235.42710,4708542000,0.0180507285,0.0059256736,3.0461947144,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,20000000,1,1,7.4714237883,418.46123,7.4714237883,418.46123,8369224600,0.0178545190,0.0058524349,3.0507870088,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
dtoa,0,20000000,1,1,0.0784523490,4.27862,0.0784523490,4.27862,85572400,0.0183359144,0.0060078550,3.0520260863,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29827448,0,675849,262147,479240
duff,0,20000000,1,1,0.0050246119,0.27505,0.0050246119,0.27505,5501000,0.0182679944,0.0059867425,3.0519336380,duff,3006473,0,471041,200704,0,614400,20481,520196,0,16385,8192,8192
edn,0,20000000,1,1,0.3184895286,16.55743,0.3184895286,16.55743,331148600,0.0192354442,0.0063040342,3.0513217353,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109805572,0,49153,20480,40960
expint,0,20000000,1,1,0.0491182699,2.74213,0.0491182699,2.74213,54842600,0.0179124294,0.0058684553,3.0523719314,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,20000000,1,1,0.0030799319,0.17207,0.0030799319,0.17207,3441400,0.0178996428,0.0058657357,3.0520402036,fac,1646601,225280,471041,114688,0,73728,1,540676,0,53249,45056,4096
fasta,0,20000000,1,1,21.7569101475,1257.33122,21.7569101475,1257.33122,25146624400,0.0173040403,0.0056843947,3.0441333653,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9562379869,0,163946263,98307862,98402304
fdct,0,20000000,1,1,0.0133292213,0.64741,0.0133292213,0.64741,12948200,0.0205885319,0.0067610274,3.0453268875,fdct,7254025,802816,90113,1961984,0,1216512,724993,4083716,0,12289,0,8192
fibcall,0,20000000,1,1,0.0016286586,0.09380,0.0016286586,0.09380,1876000,0.0173630982,0.0057006976,3.0464377853,fibcall,1130505,0,266241,16384,0,20480,1,647172,0,12289,0,8192
fir,0,20000000,1,1,2.2695273764,127.38746,2.2695273764,127.38746,2547749200,0.0178159401,0.0058482531,3.0463724576,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,800997380,0,2879489,2867200,8192
