Bench,Mode,Frequency,Prefetch,Wait states,Energy,Duration,Energy (IT adjusted),Duration (IT adjusted),HW Cycles (IT adjusted),Avg power,Avg current,Avg voltage,Benchmark,Executed insns (no MULS),MULS insns,Taken branches,RAM data reads,RAM insn reads,RAM writes,Flash data reads,Flash insn reads,Flash writes,BL insns,BL word-aligned,PUSH/POP PC/LR
aha-compress,0,20000000,1,0,0.0919655,4.36751,0.0839684,4.36751,87350200,0.0192257,0.00631341,2.96528,aha-compress,64561161,0,9052161,1646592,0,1650688,958465,36368388,0,303105,147456,299008
aha-mont64,0,20000000,1,0,0.112845,5.38764,0.104093,5.38764,107752800,0.0193207,0.00634921,2.96744,aha-mont64,77611017,1081344,4521985,13213696,0,6447104,49153,42037252,0,270337,151552,266240
bs,0,20000000,1,0,0.000608974,0.02595,0.000488326,0.02595,519000,0.018818,0.00619069,2.96623,bs,274441,0,69633,49152,0,32768,4097,184324,0,12289,4096,8192
bubblesort,0,20000000,1,0,0.422266,20.05014,0.403056,20.05014,401002800,0.0201024,0.00660703,2.96788,bubblesort,274706441,0,22339585,41398272,0,40996864,12289,148123652,0,12289,4096,8192
cnt,0,20000000,1,0,0.0512235,2.42689,0.0461798,2.42689,4.85378e+07,0.0190283,0.006251,2.96641,cnt,31150089,409600,5763073,1699840,0,1724416,847873,19382276,0,843777,8192,430080
compress,0,20000000,1,0,0.0330375,1.53490,0.0294033,1.53490,30698000,0.0191565,0.00629217,2.96595,compress,17022985,0,1925121,2707456,0,3993600,2740225,9474052,0,221185,8192,217088
cover,0,20000000,1,0,0.0212429,0.98276,0.0186719,0.98276,19655200,0.0189995,0.00624019,2.96572,cover,12587017,0,2117633,729088,0,733184,688129,7704580,0,708609,499712,12288
crc,0,20000000,1,0,0.0122959,0.55417,0.0106762,0.55417,1.10834e+07,0.0192653,0.00632913,2.96635,crc,6705164,0,1400322,1105920,0,94721,370177,4564486,0,16641,4352,12288
crc32,0,20000000,1,0,0.483034,23.66150,0.462041,23.66150,473230000,0.0195271,0.00641565,2.96681,crc32,264314889,25165824,25190401,50356224,0,46166016,20971521,151048196,0,8400897,8392704,8396800
ctl-stack,0,20000000,1,0,0.111356,5.53978,0.102379,5.53978,110795600,0.0184806,0.00607036,2.96608,ctl-stack,55898254,1228800,11194391,17035286,0,10813462,921608,35213393,0,1802245,499716,913410
ctl-string,0,20000000,1,0,0.128283,6.30428,0.118365,6.30428,126085600,0.0187754,0.00616703,2.96601,ctl-string,70168546,0,11198463,14180364,0,6053908,10334217,41742323,0,2818053,1425412,385026
ctl-vector,0,20000000,1,0,0.100019,4.93087,0.0917561,4.93087,98617400,0.0186085,0.00611295,2.96637,ctl-vector,47399059,1212416,9494551,15433750,0,12283926,946185,29884499,0,1613829,503812,929794
cubic,0,20000000,1,0,4.20503,218.12771,4.25392,218.12771,4362554200,0.0195019,0.00640788,2.96705,cubic,3295559689,89096192,262852609,169639936,0,168751104,85213185,1831096324,0,23031809,12754944,13832192
dijkstra,0,20000000,1,0,6.22846,343.27816,6.38842,343.27816,6865563200,0.0186098,0.00610195,2.96084,dijkstra,4006031341,70041600,462565375,912265228,0,521306132,525996040,2230505463,0,77832197,41660420,42438658
dtoa,0,20000000,1,0,0.0863375,3.92860,0.0776949,3.92860,78572000,0.0197767,0.00648258,2.95989,dtoa,52560520,1388556,5423162,5984362,0,5574782,1245213,29827448,0,675849,262147,479240
duff,0,20000000,1,0,0.00543284,0.23989,0.00447548,0.23989,4797800,0.0186561,0.00611485,2.9591,duff,3006473,0,471041,200704,0,614400,20481,520196,0,16385,8192,8192
edn,0,20000000,1,0,0.317802,15.04488,0.297666,15.04488,300897600,0.0197852,0.0064853,2.95989,edn,175439881,27643904,17166337,53100544,0,10113024,864257,109805572,0,49153,20480,40960
expint,0,20000000,1,0,0.0539163,2.44426,0.047752,2.44426,48885200,0.0195364,0.00640262,2.95935,expint,33714185,417792,6336513,1069056,0,262144,20481,21463044,0,831489,0,8192
fac,0,20000000,1,0,0.00371936,0.15263,0.0030392,0.15263,3.0526e+06,0.0199122,0.00652827,2.95991,fac,1646601,225280,471041,114688,0,73728,1,540676,0,53249,45056,4096
fasta,0,20000000,1,0,20.9316,1165.78255,22.0841,1165.78255,2.33157e+10,0.0189436,0.00622336,2.96654,fasta,17297687649,32768000,2166153381,590458646,0,590462976,262161064,9562379869,0,163946263,98307862,98402304
fdct,0,20000000,1,0,0.0142694,0.60669,0.0123925,0.60669,1.21338e+07,0.0204264,0.00670813,2.96533,fdct,7254025,802816,90113,1961984,0,1216512,724993,4083716,0,12289,0,8192
fibcall,0,20000000,1,0,0.00196799,0.08583,0.0016158,0.08583,1716600,0.0188248,0.00618346,2.96477,fibcall,1130505,0,266241,16384,0,20480,1,647172,0,12289,0,8192
fir,0,20000000,1,0,2.05811,102.20885,2.04359,102.20885,2044177000,0.0199942,0.00656654,2.96565,fir,1273987081,99098624,227274753,14372864,0,5787648,198217729,800997380,0,2879489,2867200,8192
frac,0,20000000,1,0,1.2108,62.70550,1.18542,62.70550,1254110000,0.0189046,0.00620897,2.96578,frac,918777865,26689536,78462977,57311232,0,55025664,26746881,516075524,0,9691137,4030464,5738496
